SI.No.,States/UT/City,Arms Act,Narcotic Drugs & Psy. Subtances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Expplosive Sub. Act,Immoral Traffic (Prevention) Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copy Rights Act,Sati Prevention Act,SC/ST (P) of Atrocities Act,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
1,Andhra Pradesh,1,0,0,1,1,0,10,0,0,0,0,0,0,0,0,2,25,0,0,1,0,36,77
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,9,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,24
5,Goa,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
6,Gujarat,1,1,21,0,465,1,0,24,0,0,0,2,0,0,0,3,0,3,0,6,0,151,678
7,Haryana,2,0,21,48,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5,81
8,Himachal Pradesh,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,1,1,0,0,22,0,0,0,5,1,0,0,0,0,0,0,0,0,0,5,35
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Madhya Pradesh,17,10,133,56,0,0,0,2,0,5,0,1,0,0,0,0,0,1,0,0,0,70,295
13,Maharashtra,2,1,21,0,116,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,513,660
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,8
17,Nagaland,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
18,Orissa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Punjab,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
20,Rajasthan,0,2,2,8,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,17,1,11,47
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,1,0,0,61,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3808,3919
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,1,0,15,63
25,West Bengal,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Total States,Total States,33,22,205,120,643,3,86,78,14,5,10,4,0,0,3,5,25,5,0,31,2,4631,5925
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
