Category (Col. 1),States/ UTs (Col. 2),Total No. of Cases for Investigation Including Pending Cases (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases in which - Investigation was Refused (Col. 5),No. of Cases in which - Investigation was Completed - Charge Found False/ Mistake of Fact or Law Etc. (Col. 6),No. of Cases in which - Investigation was Completed - Final Report True Submitted (Col. 7),No. of Cases in which - Investigation was Completed - Charge Sheets were Submitted (Col. 8),No. of Cases in which - Investigation was Completed - Total {(Col. 6 + Col. 7 + Col. 8)} = (Col. 9),No. of Cases Pending Investigation (Col. 10),Pendency Percentage (Col. 11),Percentage of Pendency to All India Total (Col. 12),Charge Sheeting Rate {(Col. 8)/ (Col. 7 + Col. 8) × 100} = (Col. 13)
State,Andhra Pradesh,4933,10,45,690,102,1774,2566,2312,46.9,29.1,94.6
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
State,Assam,40,0,0,3,6,25,34,6,15,0.1,80.6
State,Bihar,3982,0,0,111,241,1290,1642,2340,58.8,29.4,84.3
State,Chhattisgarh,822,0,0,107,28,665,800,22,2.7,0.3,96
State,Goa,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,1336,0,11,61,36,1163,1260,65,4.9,0.8,97
State,Haryana,232,0,0,31,3,183,217,15,6.5,0.2,98.4
State,Himachal Pradesh,108,0,0,35,0,42,77,31,28.7,0.4,100
State,Jammu & Kashmir,6,0,0,0,0,6,6,0,0,0,100
State,Jharkhand,190,0,0,0,19,66,85,105,55.3,1.3,77.6
State,Karnataka,1981,2,11,217,117,1267,1601,367,18.5,4.6,91.5
State,Kerala,823,29,9,184,52,195,431,354,43,4.5,78.9
State,Madhya Pradesh,5037,0,2,108,52,4541,4701,334,6.6,4.2,98.9
State,Maharashtra,819,0,0,39,28,556,623,196,23.9,2.5,95.2
State,Manipur,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,11,0,0,0,6,5,11,0,0,0,45.5
State,Orissa,1865,0,0,134,26,1163,1323,542,29.1,6.8,97.8
State,Punjab,192,0,4,13,32,70,115,73,38,0.9,68.6
State,Rajasthan,4759,0,0,1643,31,2728,4402,357,7.5,4.5,98.9
State,Sikkim,16,0,0,0,1,5,6,10,62.5,0.1,83.3
State,Tamil Nadu,1727,4,18,281,429,803,1513,192,11.1,2.4,65.2
State,Tripura,1,0,0,0,0,0,0,1,100,0,0
State,Uttar Pradesh,4158,0,0,213,302,3077,3592,566,13.6,7.1,91.1
State,Uttarakhand,158,0,0,15,37,73,125,33,20.9,0.4,66.4
State,West Bengal,15,0,0,0,0,9,9,6,40,0.1,100
State,Total (States),33211,45,100,3885,1548,19706,25139,7927,23.9,99.7,92.7
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,23,0,0,2,0,3,5,18,78.3,0.2,100
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,37,0,0,13,0,17,30,7,18.9,0.1,100
Union Territory,Total (UTs),60,0,0,15,0,20,35,25,41.7,0.3,100
Total (All-India),Total (All-India),33271,45,100,3900,1548,19726,25174,7952,23.9,100,92.7
