Category,States/ UTs/ Cities,Motives - Revenge / Settling scores,Motives - Greed/ Money,Motives - Extortion,Motives - Cause Disrepute,Motives - Prank/ Satisfaction of Gaining Control,Motives - Fraud / Illegal Gain,Motives - Eve Teasing / Harassment,Motives - Others,Motives - Total,Suspects - Foreign National /Group,Suspects - Disgrunted Employee / Employee,Suspects - Cracker / Student / Professional learners,Suspects - Business Competitor,Suspects - Neighbours / Friends & Relatives,Suspects - Others,Suspects - Total
State,Andhra Pradesh,0,0,0,7,0,13,2,41,63,0,2,0,1,2,1,6
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2
State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Gujarat,0,1,0,0,0,0,0,2,3,0,0,0,0,0,3,3
State,Haryana,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Karnataka,1,25,0,1,0,5,9,0,41,0,1,1,0,4,0,6
State,Kerala,5,4,0,4,0,4,10,11,38,0,0,2,2,9,25,38
State,Madhya Pradesh,0,0,0,0,0,159,3,2,164,0,0,39,58,37,30,164
State,Maharashtra,2,10,0,10,0,12,15,1,50,0,3,0,1,12,34,50
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2
State,Punjab,1,17,0,0,0,0,13,18,49,2,11,1,3,0,32,49
State,Rajasthan,0,0,0,0,0,13,0,3,16,0,0,0,0,0,16,16
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,3,0,0,2,0,5,2,3,15,5,5,0,0,4,1,15
State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1,0,2,1,0,1,0,0,5,0,0,0,0,0,3,3
State,Uttarakhand,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
State,West Bengal,0,0,0,0,0,2,1,0,3,0,0,0,0,0,2,2
State,Total (states),13,58,2,25,0,216,55,84,453,7,22,43,65,70,150,357
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,4,0,0,0,0,0,1,5,1,1,3,0,0,0,5
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),0,4,0,0,0,0,1,1,6,1,1,3,0,0,1,6
Total (All-India),Total (All-India),13,62,2,25,0,216,56,85,459,8,23,46,65,70,151,363
City,Agra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Ahmedabad,0,1,0,0,0,0,0,2,3,0,0,0,0,0,3,3
City,Allahabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Amritsar,0,3,0,0,0,0,0,1,4,0,0,1,2,0,1,4
City,Asansol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bengaluru,1,25,0,1,0,5,9,0,41,0,1,1,0,4,0,6
City,Bhopal,0,0,0,0,0,158,3,2,163,0,0,39,58,37,29,163
City,Chennai,2,0,0,0,0,1,0,1,4,0,2,0,0,1,1,4
City,Coimbatore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Delhi (City),0,4,0,0,0,0,0,1,5,1,1,3,0,0,0,5
City,Dhanbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Indore,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Jamshedpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Kanpur,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
City,Kochi,0,2,0,0,0,0,1,6,9,0,0,1,2,1,5,9
City,Kolkata,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
