Category,States/ UTs,DG/ Addl.DG /IG /DIG - Sanctioned,DG/ Addl.DG /IG /DIG - Actual,SSP/SP/Addl.SP/ASP/ Dy.SP - Sanctioned,SSP/SP/Addl.SP/ASP/ Dy.SP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Personnel Below A.S.I. Rank - Sanctioned,Personnel Below A.S.I. Rank - Actual,Grand Total - Sanctioned,Grand Total - Actual
State,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0
State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0
State,Assam,0,0,0,0,3,3,162,162,165,165
State,Bihar,0,0,0,0,0,0,0,0,0,0
State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0
State,Goa,0,0,0,0,0,1,0,93,0,94
State,Gujarat,0,0,0,0,0,0,0,0,0,0
State,Haryana,0,0,0,0,0,0,0,0,0,0
State,Himachal Pradesh,0,0,0,1,0,8,6,15,6,24
State,Jammu & Kashmir,0,0,0,8,0,23,0,669,0,700
State,Jharkhand,0,0,2,2,30,0,739,630,771,632
State,Karnataka,0,0,1,0,43,0,802,0,846,0
State,Kerala,0,0,0,0,0,0,0,0,0,0
State,Madhya Pradesh,1,1,8,8,7,7,103,103,119,119
State,Maharashtra,0,0,0,0,0,0,0,0,0,0
State,Manipur,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,0,0,0,0,0,100,100,100,100
State,Mizoram,0,0,0,0,0,0,0,0,0,0
State,Nagaland,0,0,1,1,0,0,0,0,1,1
State,Orissa,0,0,0,0,0,0,0,0,0,0
State,Punjab,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,0,0,0,0,0,6,0,119,0,125
State,Sikkim,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,0,1,1,38,38,1376,1376,1415,1415
State,Tripura,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0
State,Uttarakhand,0,0,0,0,4,4,216,216,220,220
State,West Bengal,0,0,0,0,0,0,0,0,0,0
State,Total (States),1,1,13,21,125,90,3504,3483,3643,3595
Union Territory,A & N Islands,0,0,0,0,0,1,0,24,0,25
Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,0,0,0,0,1,20,434,190,435,210
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,1,0,0,0,78,0,79
Union Territory,Total (UTs),0,0,0,1,1,21,434,292,435,314
Total (All-India),Total (All-India),1,1,13,22,126,111,3938,3775,4078,3909
